scenario_id,seed,arch,tasks,bypasses,wrong_bypasses,fallbacks,fallback_rate,active_window_bypasses,active_window_wrong_bypasses,active_window_fallbacks,clean_window_tasks,clean_window_bypasses,clean_window_fallbacks,shape_denials,evidence_invalidity_denials,hard_failure_denials,soft_degradation_denials,restoring_denials,unnecessary_reconstruction_triggers
D6_HARD_COVERAGE_LOSS,500,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,500,B_NAIVE_CACHE,6000,4989,49,1011,0.1685,109,9,91,5790,4873,917,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,500,C_FLAT_BOUNDED,6000,4903,50,1097,0.18283333333333332,115,14,85,5790,4782,1008,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,500,D_TETRAHEDRAL_GATE,6000,4783,36,1217,0.20283333333333334,0,0,200,5790,4783,1007,210,0,200,0,10,0
D6_HARD_COVERAGE_LOSS,777,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,777,B_NAIVE_CACHE,6000,4988,50,1012,0.16866666666666666,117,8,83,5790,4865,925,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,777,C_FLAT_BOUNDED,6000,4905,45,1095,0.1825,120,11,80,5790,4780,1010,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,777,D_TETRAHEDRAL_GATE,6000,4780,34,1220,0.20333333333333334,0,0,200,5790,4780,1010,210,0,200,0,10,0
D6_HARD_COVERAGE_LOSS,1337,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,1337,B_NAIVE_CACHE,6000,5079,49,921,0.1535,131,11,69,5790,4944,846,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,1337,C_FLAT_BOUNDED,6000,4983,46,1017,0.1695,134,14,66,5790,4845,945,0,0,0,0,0,0
D6_HARD_COVERAGE_LOSS,1337,D_TETRAHEDRAL_GATE,6000,4846,33,1154,0.19233333333333333,0,0,200,5790,4846,944,210,0,200,0,10,0
D7_HARD_COORDINATOR_OFFSET,42,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D7_HARD_COORDINATOR_OFFSET,42,B_NAIVE_CACHE,6000,5010,48,990,0.165,132,8,68,5790,4873,917,0,0,0,0,0,0
D7_HARD_COORDINATOR_OFFSET,42,C_FLAT_BOUNDED,6000,4909,42,1091,0.18183333333333335,135,11,65,5790,4770,1020,0,0,0,0,0,0
D7_HARD_COORDINATOR_OFFSET,42,D_TETRAHEDRAL_GATE,6000,4771,31,1229,0.20483333333333334,0,0,200,5790,4771,1019,210,0,200,0,10,0
D7_HARD_COORDINATOR_OFFSET,99,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D7_HARD_COORDINATOR_OFFSET,99,B_NAIVE_CACHE,6000,5030,52,970,0.16166666666666665,132,9,68,5790,4890,900,0,0,0,0,0,0
D7_HARD_COORDINATOR_OFFSET,99,C_FLAT_BOUNDED,6000,4917,45,1083,0.1805,132,12,68,5790,4777,1013,0,0,0,0,0,0
D7_HARD_COORDINATOR_OFFSET,99,D_TETRAHEDRAL_GATE,6000,4778,33,1222,0.20366666666666666,0,0,200,5790,4778,1012,210,0,200,0,10,0
D7_HARD_COORDINATOR_OFFSET,500,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
